stage,target_release_catalog,family_number,editorial_category,family,little_title,creative_title,growing_title,young_title
V2.6,76,1,Drawing Basics,Line Adventure,Big Lines Playground,Wiggly Line Creature,Controlled Line Rhythm Study,Gesture & Line Weight Study
V2.6,76,2,Animals,Dog,Dog From Big Shapes,Expressive Dog: Pose & Pattern,Dog In Motion: Proportion & Overlap,"Observational Dog: Form, Contour & Depth"
V2.6,76,3,Animals,Lion,Lion From Big Shapes,Expressive Lion: Pose & Pattern,Lion In Motion: Proportion & Overlap,"Observational Lion: Form, Contour & Depth"
V2.6,76,4,Nature,Tree,Simple Tree From Big Shapes,Creative Tree: Shape & Pattern,Tree Structure: Overlap & Proportion,"Observational Tree: Form, Texture & Depth"
V2.6,76,5,Vehicles,Car,Friendly Car From Big Shapes,Design Your Car: Shape & Detail,Car Construction: Proportion & Parts,Observational Car: Perspective & Mechanical Form
V2.6,76,6,People & Characters,Friend Waving,Waving Friend From Simple Shapes,Waving Friend: Expression & Outfit,Waving Figure: Proportion & Overlap,"Waving Figure: Gesture, Hands & Clothing"
V2.6,76,7,Food & Everyday Things,Apple,Apple From Big Shapes,Creative Apple: Shape & Personality,"Apple: Form, Proportion & Overlap","Observational Apple: Contour, Light & Texture"
V2.6,76,8,Fantasy & Magic,Dragon,Friendly Dragon From Big Shapes,Invent Your Dragon: Expression & Detail,"Dragon: Structure, Pose & Overlap","Illustrated Dragon: Form, Depth & Refined Contour"
V2.6,76,9,Space & Science,Ringed Planet,Simple Ringed Planet From Big Shapes,Imagine a Ringed Planet: Shape & Detail,"Ringed Planet: Structure, Scale & Overlap","Ringed Planet: Perspective, Form & Technical Detail"
V2.6,76,10,Places & Buildings,Cozy House,Simple Cozy House: Front View,Design a Cozy House: Facade & Detail,Cozy House: Structure & Perspective,"Observational Cozy House: Depth, Perspective & Light"
V2.7,116,11,Drawing Basics,Shape Stack,Build a Shape Tower,Shape City Mash-Up,Overlapping Form Stack,Geometric Form Composition
V2.7,116,12,Animals,Tiger,Tiger From Big Shapes,Expressive Tiger: Pose & Pattern,Tiger In Motion: Proportion & Overlap,"Observational Tiger: Form, Contour & Depth"
V2.7,116,13,Animals,Panda,Panda From Big Shapes,Expressive Panda: Pose & Pattern,Panda In Motion: Proportion & Overlap,"Observational Panda: Form, Contour & Depth"
V2.7,116,14,Nature,Mushroom,Simple Mushroom From Big Shapes,Creative Mushroom: Shape & Pattern,Mushroom Structure: Overlap & Proportion,"Observational Mushroom: Form, Texture & Depth"
